"TimeCreated","Id","LevelDisplayName","Message"
"05-07-2024 14:53:40","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-11T10:53:40Z. Reason: RulesEngine."
"05-07-2024 14:53:23","15","Information","Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON."
"05-07-2024 14:52:49","16394","Information","Offline downlevel migration succeeded."
"05-07-2024 14:44:32","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-11T10:44:32Z. Reason: RulesEngine."
"05-07-2024 14:43:33","16394","Information","Offline downlevel migration succeeded."
"05-07-2024 14:43:18","0","Information","PowerEvent handled successfully by the service."
"05-07-2024 14:43:15","0","Information","PowerEvent handled successfully by the service."
"05-07-2024 14:38:26","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-11T10:37:26Z. Reason: RulesEngine."
"05-07-2024 14:38:16","0","Information","Service stopped."
"05-07-2024 14:37:46","0",,
"05-07-2024 14:37:37","16394","Information","Offline downlevel migration succeeded."
"05-07-2024 14:37:34","0","Information","PowerEvent handled successfully by the service."
"05-07-2024 14:37:33","0","Information","PowerEvent handled successfully by the service."
"04-07-2024 23:37:46","0","Information","PowerEvent handled successfully by the service."
"04-07-2024 22:31:02","0",,
"04-07-2024 21:43:41","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-10T17:43:41Z. Reason: RulesEngine."
"04-07-2024 21:43:11","16394","Information","Offline downlevel migration succeeded."
"04-07-2024 20:54:07","0","Information","PowerEvent handled successfully by the service."
"04-07-2024 20:45:52","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-10T16:45:52Z. Reason: RulesEngine."
"04-07-2024 20:45:22","0",,
"04-07-2024 20:09:21","16394","Information","Offline downlevel migration succeeded."
"04-07-2024 20:09:17","0","Information","PowerEvent handled successfully by the service."
"04-07-2024 20:09:16","0","Information","PowerEvent handled successfully by the service."
"04-07-2024 18:10:39","0",,
"04-07-2024 17:44:03","10001","Information","Ending session 1 started ?2024?-?07?-?04T13:43:11.780069400Z."
"04-07-2024 17:43:11","10000","Information","Starting session 1 - ?2024?-?07?-?04T13:43:11.780069400Z."
"04-07-2024 17:43:04","16384","Information","Successfully scheduled Software Protection service for re-start at 2124-06-10T13:43:04Z. Reason: RulesEngine."
"04-07-2024 17:42:34","16394","Information","Offline downlevel migration succeeded."
"04-07-2024 17:42:21","258","Information","The storage optimizer successfully completed defragmentation on (C:)"
"04-07-2024 17:42:21","258","Information","The storage optimizer successfully completed retrim on (C:)"
"04-07-2024 17:28:07","0","Information","PowerEvent handled successfully by the service."
