Timestamp,Level,Source,Message,EventTemplate,Parameters,EventID
2016-09-28 04:30:30,Info,CBS,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,Loaded Servicing Stack v<*>.<*>.<*>.<*> with Core: C:\Windows\winsxs\amd<*>_microsoft-windows-servicingstack_<*>bf<*>ad<*>e<*>_<*>.<*>.<*>.<*>_none_<*>aa<*>f<*>fed<*>f<*>\cbscore.dll,"6,1,7601,23505,64,31,bf3856ad,364,35,6,1,7601,23505,681,aa442f6f,7,0",1
2016-09-28 04:30:31,Info,CSI,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),<*>@<*>/<*>/<*>:<*>.<*> WcpInitialize (wcp.dll version <*>.<*>.<*>.<*>) called (stack @<*>x<*>fed<*>eb<*>d @<*>x<*>fef<*>fb<*>b<*>d @<*>x<*>fef<*>f<*>f @<*>xff<*>e<*>c @<*>xff<*>d<*> @<*>xff<*>db<*>f),"00000001,2016,9,27:20:30,31,455,0,0,0,6,0,7,fed806eb,5,0,7,fef9fb9b,6,0,7,fef9f835,8,0,ff83e97c,0,ff83d799,0,ff83db2f",2
2016-09-28 04:30:31,Info,CSI,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),<*>@<*>/<*>/<*>:<*>.<*> WcpInitialize (wcp.dll version <*>.<*>.<*>.<*>) called (stack @<*>x<*>fed<*>eb<*>d @<*>x<*>fefa<*>ade @<*>x<*>fef<*>fd<*> @<*>x<*>fef<*>f<*> @<*>xff<*>e<*>c @<*>xff<*>d<*>),"00000002,2016,9,27:20:30,31,458,0,0,0,6,0,7,fed806eb,5,0,7,fefa006a,0,7,fef9fd29,84,0,7,fef9f836,65,0,ff83e97c,0,ff83d799",3
2016-09-28 04:30:31,Info,CSI,00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f),<*>@<*>/<*>/<*>:<*>.<*> WcpInitialize (wcp.dll version <*>.<*>.<*>.<*>) called (stack @<*>x<*>fed<*>eb<*>d @<*>x<*>fefa<*>c<*> @<*>x<*>fefa<*>c<*> @<*>xff<*>e<*> @<*>xff<*>d<*>de @<*>xff<*>db<*>f),"00000003,2016,9,27:20:30,31,458,0,0,0,6,0,7,fed806eb,5,0,7,fefa1c87,28,0,7,fefa1c88,56,0,ff83e474,0,ff83d7de,0,ff83db2f",4
2016-09-28 04:30:31,Info,CBS,Ending TrustedInstaller initialization.,Ending TrustedInstaller initialization.,,5
2016-09-28 04:30:31,Info,CBS,Starting the TrustedInstaller main loop.,Starting the TrustedInstaller main loop.,,6
2016-09-28 04:30:31,Info,CBS,TrustedInstaller service starts successfully.,TrustedInstaller service starts successfully.,,7
2016-09-28 04:30:31,Info,CBS,SQM: Initializing online with Windows opt-in: False,SQM: Initializing online with Windows opt-in: False,,8
2016-09-28 04:30:31,Info,CBS,SQM: Cleaning up report files older than 10 days.,SQM: Cleaning up report files older than <*> days.,10,9
2016-09-28 04:30:31,Info,CBS,SQM: Requesting upload of all unsent reports.,SQM: Requesting upload of all unsent reports.,,10
2016-09-28 04:30:31,Info,CBS,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]","SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: <*>x<*> [HRESULT = <*>x<*> - E_FAIL]","0,2,0,80004005",11
2016-09-28 04:30:31,Info,CBS,SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],SQM: Failed to start standard sample upload. [HRESULT = <*>x<*> - E_FAIL],"0,80004005",12
2016-09-28 04:30:31,Info,CBS,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6","SQM: Queued <*> file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: <*>x<*>","0,0,6",13
2016-09-28 04:30:31,Info,CBS,SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*>x<*> - E_FAIL],"0,80004005",14
2016-09-28 04:30:31,Info,CBS,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.","No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",,15
2016-09-28 04:30:31,Info,CBS,NonStart: Checking to ensure startup processing was not required.,NonStart: Checking to ensure startup processing was not required.,,16
